date,tweet,username,cleaning
Tue Apr 30 04:58:10 +0000 2024,@niwseir KIPK itu bukannya setara beasiswa BBM bukan beasiswa PPA?,rizapasha_,niwseir kipk itu bukannya setara beasiswa bbm bukan beasiswa ppa
Tue Apr 30 04:55:56 +0000 2024,Orang yang mampu bayar kuliah tanpa beasiswa kipk pun ga tentu bisa beli barang2 apple??? Ini udah pake uang kipk yang ada pajak rakyat buat LU SEKOLAH malah dipake beli hp boba.,baecorgi,orang yang mampu bayar kuliah tanpa beasiswa kipk pun ga tentu bisa beli barang apple ini udah pake uang kipk yang ada pajak rakyat buat lu sekolah malah dipake beli hp boba
Tue Apr 30 04:52:27 +0000 2024,@triddayco @undipmenfess @KhulfiaS Kan di sayang bapak yaaa wahai @KhulfiaS otomatis bapak nya mampu dongs beliin barang barang mahal masa pake kipk. Pake beasiswa jalur prestasi dong seng lebih berguna dibanding hak orang lain di pake,Cpiee_,triddayco undipmenfess khulfias kan di sayang bapak yaaa wahai khulfias otomatis bapak nya mampu dongs beliin barang barang mahal masa pake kipk pake beasiswa jalur prestasi dong seng lebih berguna dibanding hak orang lain di pake
Tue Apr 30 04:43:03 +0000 2024,@seeyounyc Dulu namanya Bidikmisi sekarang jadi KIPK itu beasiswa untuk mahasiswa yg kurang mampu tapi banyak disalahgunakan jadinya yg mampu malah bisa daftar &amp; keterima beasiswanya itu,PetraArkan1an,seeyounyc dulu namanya bidikmisi sekarang jadi kipk itu beasiswa untuk mahasiswa yg kurang mampu tapi banyak disalahgunakan jadinya yg mampu malah bisa daftar amp keterima beasiswanya itu
Tue Apr 30 04:41:21 +0000 2024,Masa perbaikan nasibnya sampe bisa beli make up dan tas high end?Artinya dia sebenernya mampu kan bayar uang kuliah tanpa kipk? Gw dulu kuliah ga beasiswa tapi gw juga ga mampu beli barang2 kayak mbaknya. Tumben ni akun opininya jelek pernah menyalahgunakan beasiswa juga ya?,haemjji_x,masa perbaikan nasibnya sampe bisa beli make up dan tas high end artinya dia sebenernya mampu kan bayar uang kuliah tanpa kipk gw dulu kuliah ga beasiswa tapi gw juga ga mampu beli barang kayak mbaknya tumben ni akun opininya jelek pernah menyalahgunakan beasiswa juga ya
Tue Apr 30 04:40:50 +0000 2024,@undipmenfess Jujur jaman kuliah dlu ga ada kipk cuman ngandelin beasiswa yang berjuang apply nya 50:50 org tua udah ga ada. Ngelihat kasus KIPK skrg cuman mikir aja kok ya ga malu make uang yg tujuan buat pendidikan malah dipake buat foya foya terus flexing.,berasduaputra,undipmenfess jujur jaman kuliah dlu ga ada kipk cuman ngandelin beasiswa yang berjuang apply nya org tua udah ga ada ngelihat kasus kipk skrg cuman mikir aja kok ya ga malu make uang yg tujuan buat pendidikan malah dipake buat foya foya terus flexing
Tue Apr 30 04:40:22 +0000 2024,miris liat kipk ini ga tepat sasaran malah jadi modal mahasiswa buat hedon. sedangkan yang sebenarnya butuh buat kuliah harus kerja sendiri untuk nambahin biaya kuliahnya. padahal kalo emang mau nambahin uang jajan bisa kejar beasiswa jalur prestasi tanpa perlu ngaku miskin.,acsirpriz,miris liat kipk ini ga tepat sasaran malah jadi modal mahasiswa buat hedon sedangkan yang sebenarnya butuh buat kuliah harus kerja sendiri untuk nambahin biaya kuliahnya padahal kalo emang mau nambahin uang jajan bisa kejar beasiswa jalur prestasi tanpa perlu ngaku miskin
Tue Apr 30 04:39:43 +0000 2024,Ayo kuak kasus KIPK dan beasiswa yang harus menyerahkan SKTM. I m here for it.,dityaocta,ayo kuak kasus kipk dan beasiswa yang harus menyerahkan sktm i m here for it
Tue Apr 30 04:31:28 +0000 2024,@undipmenfess NJIRR INI HEDON BANGET GILAAA gue aja tau diri ga mungkin dapet kipk dan nyoba beasiswa pake ipk DAN ITU GUE SETELAH 6x percobaan sekali doang dapett itupun sejuta endingnya buat nambah uang saku pas magang plss woii ini gilaa bgtt (macm2 n nike n ipon)) wtffff,diaijel,undipmenfess njirr ini hedon banget gilaaa gue aja tau diri ga mungkin dapet kipk dan nyoba beasiswa pake ipk dan itu gue setelah x percobaan sekali doang dapett itupun sejuta endingnya buat nambah uang saku pas magang plss woii ini gilaa bgtt macm n nike n ipon wtffff
Tue Apr 30 04:32:34 +0000 2024,KIPK Hunter ini muncul dari rasa iri kelas menengah dapet beasiswa miskin ga bisa bayar ukt ngos2an. Waktu namanya masih bidikmisi wa saksi itu tepat sasaran.,MursalHakim9,kipk hunter ini muncul dari rasa iri kelas menengah dapet beasiswa miskin ga bisa bayar ukt ngosan waktu namanya masih bidikmisi wa saksi itu tepat sasaran
Tue Apr 30 04:37:05 +0000 2024,@undipmenfess semakin banyak yg ketahuan salah sasaran berarti sistem penerimaan kipk semakin dipertanyakan. kok bisa lolos? yg nerima juga kenapa daftar? segoblok itu kah sampe gatau itu beasiswa apa? atau tau tp emang niatnya pengen ngerasain duit yg bukan hak nya?,daegguy,undipmenfess semakin banyak yg ketahuan salah sasaran berarti sistem penerimaan kipk semakin dipertanyakan kok bisa lolos yg nerima juga kenapa daftar segoblok itu kah sampe gatau itu beasiswa apa atau tau tp emang niatnya pengen ngerasain duit yg bukan hak nya
Tue Apr 30 04:31:03 +0000 2024,@teorigravitasi @undipmenfess kipk buat orang gak mampu secara ekonomi bukan dakwah agama yang mengatasnamakan anak yatim kalo mau beasiswa buat anak yatim mending daftar beasiswa dari organisasi islam,baksoantisaos,teorigravitasi undipmenfess kipk buat orang gak mampu secara ekonomi bukan dakwah agama yang mengatasnamakan anak yatim kalo mau beasiswa buat anak yatim mending daftar beasiswa dari organisasi islam
Tue Apr 30 04:29:27 +0000 2024,@rshintaaaaa mjb kipk isn t beasiswa sih kak tapi santunan jatohnya kayak kartu bantuan macem BPJS/Zakat Baznas cuma ya bahasanya diperhalus pemerintah kayaknya wkwkwk,mancvester,rshintaaaaa mjb kipk isn t beasiswa sih kak tapi santunan jatohnya kayak kartu bantuan macem bpjszakat baznas cuma ya bahasanya diperhalus pemerintah kayaknya wkwkwk
Tue Apr 30 04:23:42 +0000 2024,@sheraphine_ @undipmenfess 3 jt perbulan masih cukup lumayan jir ada lo keluarga yg beneran buat makan besok aja masih kudu mikir klo masih mampu biaya yg lain misal tempat tinggal &amp; makan krn masih ditanggung ortu knp ngga nyari beasiswa lain knp harus kipk aplg kl smp bs beli brg tersier mewah,aya_naayu,sheraphine undipmenfess jt perbulan masih cukup lumayan jir ada lo keluarga yg beneran buat makan besok aja masih kudu mikir klo masih mampu biaya yg lain misal tempat tinggal amp makan krn masih ditanggung ortu knp ngga nyari beasiswa lain knp harus kipk aplg kl smp bs beli brg tersier mewah
Tue Apr 30 04:28:26 +0000 2024,@unnesmenfess harusnya emang gitu ga sihh KIPK/bidikmisi itu bantuan buat orang yang kurang mampu bukan beasiswa buat hedon kalo mahasiswa dapet beasiswa hasil prestasi mah bodo amat mo dipake hedon la ini kipk njir ya kali malah dipake hedon KAN ANEHHHH,baksoantisaos,unnesmenfess harusnya emang gitu ga sihh kipkbidikmisi itu bantuan buat orang yang kurang mampu bukan beasiswa buat hedon kalo mahasiswa dapet beasiswa hasil prestasi mah bodo amat mo dipake hedon la ini kipk njir ya kali malah dipake hedon kan anehhhh
Tue Apr 30 04:23:24 +0000 2024,@richieesnabati Yg banyak bermasalah tuh kampus2 gede loh kampus gw kampus kecil jarang orang tau tp mahasiswa yg dapet beasiswa tepat sasaran semua. Pada maunya kuliah di kampus terkenal akhirnya ga lolos ga dapet kipk nyalahin yg dapet wkwk,itsmebambang,richieesnabati yg banyak bermasalah tuh kampus gede loh kampus gw kampus kecil jarang orang tau tp mahasiswa yg dapet beasiswa tepat sasaran semua pada maunya kuliah di kampus terkenal akhirnya ga lolos ga dapet kipk nyalahin yg dapet wkwk
Tue Apr 30 04:18:00 +0000 2024,Gaji gue sebulan sama belanja dia aja kalah Kenapa si orang2 pada serakah banget anjir gue dapet beasiswa yg setahun alias 2 semester dapetnya 5jtan aja ngep2an banget nutup sisa ukt yg ga ke cover makanya sambil kerja juga lah dia yg dah berduit malah dapet kipk,Eunri137,gaji gue sebulan sama belanja dia aja kalah kenapa si orang pada serakah banget anjir gue dapet beasiswa yg setahun alias semester dapetnya jtan aja ngepan banget nutup sisa ukt yg ga ke cover makanya sambil kerja juga lah dia yg dah berduit malah dapet kipk
